idItinerario,codigoAeropuerto,nombreAeropuerto
1,AAL,"Aalborg, Denmark Aalborg"
2,AES,"Aalesund, Norway Vigra"
3,AAR,"Aarhus, Denmark Tirstrup"
4,YXX,"Abbotsford, Canada   Abbotsford Airport"
5,ABZ,"Aberdeen, Scotland, United Kingdom Dyce"
6,ABR,"Aberdeen, SD, USA Aberdeen Regional Airport"
7,AHB,"Abha, Saudi Arabia   Abha Airport"
8,ABJ,"Abidjan, Cote D'ivoire Port Bouet"
9,ABI,"Abilene, TX, USA Municipal"
10,AUH,"Abu Dhabi, United Arab Emirates Abu Dhabi International"
11,ABS,"Abu Simbel, Egypt Abu Simbel"
12,ABV,"Abuja, Nigeria   Abuja International Airport"
13,ACA,"Acapulco, Guerrero, Mexico Alvarez International"
14,ACC,"Accra, Ghana Kotoka"
15,ADK,"Adak Island, Alaska, USA, Adak Island Airport"
16,ADA,"Adana, Turkey Adana"
17,ADD,"Addis Ababa, Ethiopia Bole"
18,ADL,"Adelaide, South Australia, Australia Adelaide"
19,ADE,"Aden, Yemen   Aden International Airport"
20,AGA,"Agadir, Morocco Inezgane"
21,GUM,"Agana, Guam, Guam Ab Wonpat Intl Airport"
22,IXA,"Agartala, India Singerbhil"
23,QGG,"Agedabia, Libya"
24,AGF,"Agen, France La Garenne"
25,AGR,"Agra, India Kheria"
26,AJI,"Agri, Turkey   Agri Airport"
27,BQN,"Aguadilla, PR, USA"
28,AGU,"Aguascalientes, Aguascalientes, Mexico"
29,IKA,"Ahmadabad (Tehran), Iran   Imam Khomeini International Airport"
30,AMD,"Ahmedabad, India Ahmedabad"
31,AWZ,"Ahwaz, Iran   Ahwaz Airport"
32,QXB,"Aix En Provence, France   Aix En Provence Airport"
33,AJA,"Ajaccio, Corsica, France Campo Dell Oro"
34,AXT,"Akita, Japan   Akita Airport"
35,CAK,"Akron/Canton, OH, USA AkronCanton Regional Airport"
36,AKU,"Aksu, China   Aksu Airport"
37,PVK,"Aktion, Greece   Preveza Lefkas Airport"
38,AKV,"Akulivik, Canada   Akulivik Airport"
39,AEY,"Akureyri, Iceland Akureyri"
40,KQA,"Akutan, Alaska, USA   Akutan Airport"
41,AAN,"Al Ain, United Arab Emirates   Al Ain Airport"
42,AAC,"Al Arish, Egypt   Al Arish Airport"
43,ABT,"Al Baha, Saudi Arabia   Al Baha Al Aqiq Airport"
44,AHU,"Al Hoceima, Morocco   Al Hoceima Airport"
45,ALM,"Alamogordo, NM, USA"
46,ALS,"Alamosa, CO, USA Bergman Field"
47,ABC,"Albacete, Spain   Albacete Airport"
48,ABY,"Albany, GA, USA Dougherty County"
49,ALB,"Albany, NY, USA Albany County Airport"
50,ALL,"Albenga, Italy   Albenga Airport"
51,ABQ,"Albuquerque, NM, USA Albuquerque International Airport"
52,ABX,"Albury, New South Wales, Australia Albury"
53,ACI,"Alderney, Channel Islands, United Kingdom The Blaye"
54,WKK,"Aleknagik, Alaska, USA   Aleknagik Airport"
55,AED,"Aleneva, Alaska, USA   Aleneva Airport"
56,ALP,"Aleppo, Syria Nejrab"
57,ALY,"Alexandria, Egypt Alexandria"
58,HBE,"ALexandria, Egypt Borg El Arab Airport"
59,AEX,"Alexandria, LA, USA Alexandria Intl Airport"
60,XFS,"Alexandria, Ontario, Canada Alexandria / Via Rail Service"
61,AXD,"Alexandroupolis, Greece Alexandroupolis"
62,AHO,"Alghero, Sardinia, Italy Fertilia"
63,ALG,"Algiers, Algeria Houari Boumedienne"
